,code,var_name
0,13575157,Pesticides (total) Agricultural Use
1,13095157,Insecticides Agricultural Use
2,13105157,Insecticides – Chlorinated Hydrocarbons Agricultural Use
3,13115157,Insecticides – Organo-phosphates Agricultural Use
4,13125157,Insecticides – Carbamates Agricultural Use
5,13135157,Insecticides – Pyrethroids Agricultural Use
6,13155157,Insecticides – Other Agricultural Use
7,13205157,Herbicides Agricultural Use
8,13215157,Herbicides – Phenoxy hormone products Agricultural Use
9,13225157,Herbicides – Triazines Agricultural Use
10,13235157,Herbicides – Amides Agricultural Use
11,13245157,Herbicides – Carbamates Agricultural Use
12,13255157,Herbicides – Dinitroanilines Agricultural Use
13,13285157,Herbicides – Sulfonyl ureas Agricultural Use
14,13295157,Herbicides – Bipiridils Agricultural Use
15,13275157,Herbicides – Other Agricultural Use
16,13315157,Fungicides and Bactericides Agricultural Use
17,13325157,Fung & Bact – Inorganics Agricultural Use
18,13335157,Fung & Bact – Dithiocarbamates Agricultural Use
19,13345157,Fung & Bact – Benzimidazoles Agricultural Use
20,13355157,"Fung & Bact – Triazoles, diazoles Agricultural Use"
21,13375157,Fung & Bact – Other Agricultural Use
22,13525157,Fungicides – Seed treatments Agricultural Use
23,13535157,Insecticides – Seed Treatments Agricultural Use
24,13415157,Plant Growth Regulators Agricultural Use
25,13455157,Rodenticides Agricultural Use
26,13465157,Rodenticides – Anti-coagulants Agricultural Use
27,13475157,Rodenticides – Other Agricultural Use
28,13555157,Other Pesticides nes Agricultural Use
29,13145157,Insecticides – Botanical products and biologicals Agricultural Use
30,13265157,Herbicides – Urea derivates Agricultural Use
31,13305157,Herbicides – Uracil Agricultural Use
32,13365157,"Fung & Bact – Diazines, morpholines Agricultural Use"
33,13175157,Seed Treat Fung – Dithiocarbamates Agricultural Use
34,13185157,Seed Treat Fung – Benzimidazoles Agricultural Use
35,13195157,"Seed Treat Fung – Triazoles, diazoles Agricultural Use"
36,13385157,Seed Treat Fung – Botanical products and biologicals Agricultural Use
37,13395157,Seed Treat Fung – Other Agricultural Use
38,13425157,Seed Treat Insect – Carbamates Agricultural Use
39,13435157,Seed Treat Insect – Pyrethroids Agricultural Use
40,13445157,Seed Treat Insect – Other Agricultural Use
41,13165157,Mineral Oils Agricultural Use
42,13405157,Seed Treat Insect – Organo-phosphates Agricultural Use
43,13515157,Disinfectants Agricultural Use
44,13485157,Rodenticides – Cyanide Generators Agricultural Use
45,13495157,Rodenticides – Hypercalcaemics Agricultural Use
46,13505157,Rodenticides – Narcotics Agricultural Use
47,220166110,"Value Added (Agriculture, Forestry and Fishing) Value US$"
48,2201661840,"Value Added (Agriculture, Forestry and Fishing) Value US$, 2015 prices"
49,220166139,"Value Added (Agriculture, Forestry and Fishing) Share of Total US$"
50,220166129,"Value Added (Agriculture, Forestry and Fishing) Annual growth US$"
51,220166182,"Value Added (Agriculture, Forestry and Fishing) Annual growth US$, 2015 prices"
52,220306110,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Value US$"
53,2203061840,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Value US$, 2015 prices"
54,220306139,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Share of Total US$"
55,220306159,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Agriculture orientation index US$"
56,220306129,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Annual growth US$"
57,220306182,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Annual growth US$, 2015 prices"
58,220306161,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing) Share of Value Added US$"
59,231616110,"Agriculture, forestry, fishing (Central Government) Value US$"
60,2316161840,"Agriculture, forestry, fishing (Central Government) Value US$, 2015 prices"
61,231616129,"Agriculture, forestry, fishing (Central Government) Annual growth US$"
62,231616182,"Agriculture, forestry, fishing (Central Government) Annual growth US$, 2015 prices"
63,230686110,"Credit to Agriculture, Forestry and Fishing Value US$"
64,2306861840,"Credit to Agriculture, Forestry and Fishing Value US$, 2015 prices"
65,230686139,"Credit to Agriculture, Forestry and Fishing Share of Total US$"
66,230686159,"Credit to Agriculture, Forestry and Fishing Agriculture orientation index US$"
67,230686129,"Credit to Agriculture, Forestry and Fishing Annual growth US$"
68,230686182,"Credit to Agriculture, Forestry and Fishing Annual growth US$, 2015 prices"
69,230706110,"DFA Disbursement to Agriculture, Forestry and Fishing Value US$"
70,2307061980,"DFA Disbursement to Agriculture, Forestry and Fishing Value US$, 2019 prices"
71,230706139,"DFA Disbursement to Agriculture, Forestry and Fishing Share of Total US$"
72,230706159,"DFA Disbursement to Agriculture, Forestry and Fishing Agriculture orientation index US$"
73,230706129,"DFA Disbursement to Agriculture, Forestry and Fishing Annual growth US$"
74,230806110,"FDI inflows to Agriculture, Forestry and Fishing Value US$"
75,2308061840,"FDI inflows to Agriculture, Forestry and Fishing Value US$, 2015 prices"
76,230806139,"FDI inflows to Agriculture, Forestry and Fishing Share of Total US$"
77,230806129,"FDI inflows to Agriculture, Forestry and Fishing Annual growth US$"
78,230806182,"FDI inflows to Agriculture, Forestry and Fishing Annual growth US$, 2015 prices"
79,24550175622,Agricultural machinery nes (trade) Import Value
80,24550115116,Agricultural tractors In Use
81,24550095116,"Agricultural tractors, total In Use"
82,24550095607,"Agricultural tractors, total Import Quantity"
83,24550095622,"Agricultural tractors, total Import Value"
84,24550045116,Combine harvesters - threshers In Use
85,24550145622,Harvester and threshers (trade) Import Value
86,24550155622,"Milking, dairy machinery (trade) Import Value"
87,24550025116,"Seeders, planters and transplanters In Use"
88,24550165622,Soil working equipment (trade) Import Value
89,24550075116,Threshing machines In Use
90,24550175922,Agricultural machinery nes (trade) Export Value
91,24550095907,"Agricultural tractors, total Export Quantity"
92,24550095922,"Agricultural tractors, total Export Value"
93,24550055607,Balers (straw and fodder balers including pick-up balers) Import Quantity
94,24550055622,Balers (straw and fodder balers including pick-up balers) Import Value
95,24550045607,Combine harvesters - threshers Import Quantity
96,24550045622,Combine harvesters - threshers Import Value
97,24550145922,Harvester and threshers (trade) Export Value
98,24550035607,Manure spreaders and Fertiliser distributors Import Quantity
99,24550035622,Manure spreaders and Fertiliser distributors Import Value
100,24550035907,Manure spreaders and Fertiliser distributors Export Quantity
101,24550035922,Manure spreaders and Fertiliser distributors Export Value
102,24550085607,Milking machines Import Quantity
103,24550085622,Milking machines Import Value
104,24550155922,"Milking, dairy machinery (trade) Export Value"
105,24550135607,Other Agricultural tractors (two-axle tractors) Import Quantity
106,24550135622,Other Agricultural tractors (two-axle tractors) Import Value
107,24550135907,Other Agricultural tractors (two-axle tractors) Export Quantity
108,24550135922,Other Agricultural tractors (two-axle tractors) Export Value
109,24550105607,Pedestrian controlled tractors (single axle tractors) Import Quantity
110,24550105622,Pedestrian controlled tractors (single axle tractors) Import Value
111,24550105907,Pedestrian controlled tractors (single axle tractors) Export Quantity
112,24550105922,Pedestrian controlled tractors (single axle tractors) Export Value
113,24550015116,Ploughs (e.g. reversible and non-reversible ploughs) In Use
114,24550015607,Ploughs (e.g. reversible and non-reversible ploughs) Import Quantity
115,24550015622,Ploughs (e.g. reversible and non-reversible ploughs) Import Value
116,24550015907,Ploughs (e.g. reversible and non-reversible ploughs) Export Quantity
117,24550015922,Ploughs (e.g. reversible and non-reversible ploughs) Export Value
118,24550065607,Root or tuber harvesting machines Import Quantity
119,24550065622,Root or tuber harvesting machines Import Value
120,24550025607,"Seeders, planters and transplanters Import Quantity"
